 ,Area,Mean,Min,Max,XM,YM,Perim.,BX,BY,Width,Height
7665,0.004,255,255,255,4.628,19.201,0.186,4.595,19.168,0.066,0.066
7666,0.004,255,255,255,8.698,19.267,0.186,8.665,19.234,0.066,0.066
7667,0.099,255,255,255,10.005,19.575,1.454,9.847,19.300,0.328,0.591
7668,0.013,255,255,255,58.326,19.398,0.448,58.293,19.300,0.066,0.197
7669,0.004,255,255,255,8.632,19.398,0.186,8.600,19.365,0.066,0.066
7670,0.444,255,255,255,8.809,19.860,2.366,8.403,19.497,0.788,0.722
7671,0.004,255,255,255,65.153,19.858,0.186,65.120,19.825,0.066,0.066
7672,0.560,255,255,255,6.608,20.392,3.480,6.039,19.891,1.116,1.050
7673,0.004,255,255,255,65.219,20.055,0.186,65.186,20.022,0.066,0.066
7674,0.569,255,255,255,40.318,20.707,2.721,39.912,20.284,0.853,0.853
7675,0.771,255,255,255,51.801,20.842,3.208,51.335,20.350,0.985,0.985
7676,0.039,255,255,255,7.341,20.748,1.137,7.221,20.547,0.263,0.460
7677,0.009,255,255,255,58.556,20.875,0.371,58.490,20.810,0.131,0.131
7678,0.009,255,255,255,65.613,20.875,0.317,65.580,20.810,0.066,0.131
7679,0.004,255,255,255,65.809,21.368,0.186,65.777,21.335,0.066,0.066
7680,0.246,255,255,255,5.831,21.775,1.863,5.580,21.466,0.525,0.656
7681,0.582,255,255,255,20.767,21.963,2.760,20.350,21.532,0.853,0.853
7682,0.577,255,255,255,8.462,22.055,3.208,7.943,21.663,1.116,0.788
7683,0.651,255,255,255,56.780,22.194,2.907,56.324,21.729,0.919,0.919
7684,0.577,255,255,255,29.959,22.745,2.760,29.540,22.319,0.853,0.853
7685,0.004,255,255,255,31.346,22.352,0.186,31.313,22.319,0.066,0.066
7686,0.013,255,255,255,6.882,22.505,0.371,6.827,22.451,0.131,0.131
7687,0.789,255,255,255,27.489,23.008,3.410,26.915,22.582,1.182,0.919
7688,0.508,255,255,255,45.940,22.978,2.574,45.558,22.582,0.788,0.788
7689,0.004,255,255,255,66.335,22.680,0.186,66.302,22.648,0.066,0.066
7690,0.534,255,255,255,22.705,23.200,2.629,22.319,22.779,0.788,0.853
7691,0.698,255,255,255,17.781,23.305,3.038,17.330,22.845,0.919,0.985
7692,0.004,255,255,255,66.991,23.206,0.186,66.958,23.173,0.066,0.066
7693,0.685,255,255,255,57.432,23.697,2.984,56.980,23.238,0.919,0.919
7694,0.017,255,255,255,67.024,23.435,0.634,66.958,23.304,0.131,0.263
7695,0.030,255,255,255,16.247,23.646,0.688,16.149,23.501,0.197,0.263
7696,0.009,255,255,255,66.991,23.698,0.317,66.958,23.632,0.066,0.131
7697,0.004,255,255,255,67.122,23.731,0.186,67.090,23.698,0.066,0.066
7698,0.009,255,255,255,67.057,23.895,0.317,67.024,23.829,0.066,0.131
7699,0.060,255,255,255,67.235,24.176,1.585,67.155,23.829,0.197,0.656
7700,0.513,255,255,255,27.962,24.287,2.536,27.571,23.895,0.788,0.788
7701,0.504,255,255,255,29.356,24.591,2.590,28.950,24.157,0.788,0.853
7702,0.608,255,255,255,24.318,24.658,2.798,23.895,24.223,0.853,0.853
7703,0.034,255,255,255,67.451,24.683,1.213,67.352,24.420,0.197,0.525
7704,0.009,255,255,255,64.595,24.650,0.279,64.529,24.617,0.131,0.066
7705,0.004,255,255,255,67.385,24.847,0.186,67.352,24.814,0.066,0.066
7706,0.358,255,255,255,6.761,25.192,2.164,6.433,24.880,0.656,0.656
